,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
235,236,Kahaani,2012,122,8.1,62.28,62991,1.04,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Sujoy Ghosh,"['Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui']"
236,237,Udaan,2010,134,8.1,62.28,45194,0.01,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,"['Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor']"
237,238,The Help,2011,146,8.1,62.0,457096,169.71,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"['Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard']"
238,239,Prisoners,2013,153,8.1,70.0,700870,61.0,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"['Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo']"
239,240,Mad Max: Fury Road,2015,120,8.1,90.0,991403,154.06,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,"['Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz']"
240,241,A Wednesday,2008,104,8.1,62.28,78646,75.62454999999994,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"['Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual']"
241,242,Gran Torino,2008,116,8.1,72.0,771731,148.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,"['Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her']"
242,243,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,866092,381.01,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"['Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon']"
243,244,Article 15,2019,130,8.1,62.28,33715,75.62454999999994,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Anubhav Sinha,"['Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra']"
244,245,Hachi: A Dog's Tale,2009,93,8.1,62.28,283582,233.0,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,"['Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer']"
